key,away,away_id,away_score,date,gamePk,home,home_id,home_score
2018/03/29/chnmlb-miamlb-1,Chicago Cubs,112,8,2018-03-29,529407,Miami Marlins,146,4
2018/03/29/slnmlb-nynmlb-1,St. Louis Cardinals,138,4,2018-03-29,529419,New York Mets,121,9
2018/03/29/minmlb-balmlb-1,Minnesota Twins,142,2,2018-03-29,529414,Baltimore Orioles,110,3
2018/03/29/houmlb-texmlb-1,Houston Astros,117,4,2018-03-29,529411,Texas Rangers,140,1
2018/03/29/nyamlb-tormlb-1,New York Yankees,147,6,2018-03-29,529415,Toronto Blue Jays,141,1
2018/03/29/bosmlb-tbamlb-1,Boston Red Sox,111,4,2018-03-29,529406,Tampa Bay Rays,139,6
2018/03/29/anamlb-oakmlb-1,Los Angeles Angels,108,5,2018-03-29,529412,Oakland Athletics,133,6
2018/03/29/milmlb-sdnmlb-1,Milwaukee Brewers,158,2,2018-03-29,529413,San Diego Padres,135,1
2018/03/29/phimlb-atlmlb-1,Philadelphia Phillies,143,5,2018-03-29,529416,Atlanta Braves,144,8
2018/03/29/chamlb-kcamlb-1,Chicago White Sox,145,14,2018-03-29,529408,Kansas City Royals,118,7
2018/03/29/sfnmlb-lanmlb-1,San Francisco Giants,137,1,2018-03-29,529418,Los Angeles Dodgers,119,0
2018/03/29/clemlb-seamlb-1,Cleveland Indians,114,1,2018-03-29,529409,Seattle Mariners,136,2
2018/03/29/colmlb-arimlb-1,Colorado Rockies,115,2,2018-03-29,529410,Arizona Diamondbacks,109,8
2018/03/30/pitmlb-detmlb-1,Pittsburgh Pirates,134,13,2018-03-30,529417,Detroit Tigers,116,10
2018/03/30/wasmlb-cinmlb-1,Washington Nationals,120,2,2018-03-30,529420,Cincinnati Reds,113,0
2018/03/30/nyamlb-tormlb-1,New York Yankees,147,4,2018-03-30,529427,Toronto Blue Jays,141,2
2018/03/30/bosmlb-tbamlb-1,Boston Red Sox,111,1,2018-03-30,529421,Tampa Bay Rays,139,0
2018/03/30/chnmlb-miamlb-1,Chicago Cubs,112,1,2018-03-30,529422,Miami Marlins,146,2
2018/03/30/phimlb-atlmlb-1,Philadelphia Phillies,143,5,2018-03-30,529428,Atlanta Braves,144,4
2018/03/30/houmlb-texmlb-1,Houston Astros,117,1,2018-03-30,529424,Texas Rangers,140,5
2018/03/30/colmlb-arimlb-1,Colorado Rockies,115,8,2018-03-30,529423,Arizona Diamondbacks,109,9
2018/03/30/anamlb-oakmlb-1,Los Angeles Angels,108,2,2018-03-30,529425,Oakland Athletics,133,1
2018/03/30/milmlb-sdnmlb-1,Milwaukee Brewers,158,8,2018-03-30,529426,San Diego Padres,135,6
2018/03/30/sfnmlb-lanmlb-1,San Francisco Giants,137,1,2018-03-30,529429,Los Angeles Dodgers,119,0
2018/03/31/slnmlb-nynmlb-1,St. Louis Cardinals,138,2,2018-03-31,529443,New York Mets,121,6
2018/03/31/wasmlb-cinmlb-1,Washington Nationals,120,13,2018-03-31,529444,Cincinnati Reds,113,7
2018/03/31/houmlb-texmlb-1,Houston Astros,117,9,2018-03-31,529435,Texas Rangers,140,3
2018/03/31/anamlb-oakmlb-1,Los Angeles Angels,108,8,2018-03-31,529436,Oakland Athletics,133,3
2018/03/31/nyamlb-tormlb-1,New York Yankees,147,3,2018-03-31,529439,Toronto Blue Jays,141,5
2018/03/31/clemlb-seamlb-1,Cleveland Indians,114,6,2018-03-31,529433,Seattle Mariners,136,5
2018/03/31/bosmlb-tbamlb-1,Boston Red Sox,111,3,2018-03-31,529430,Tampa Bay Rays,139,2
2018/03/31/minmlb-balmlb-1,Minnesota Twins,142,6,2018-03-31,529438,Baltimore Orioles,110,2
2018/03/31/chnmlb-miamlb-1,Chicago Cubs,112,10,2018-03-31,529431,Miami Marlins,146,6
2018/03/31/phimlb-atlmlb-1,Philadelphia Phillies,143,2,2018-03-31,529440,Atlanta Braves,144,15
2018/03/31/chamlb-kcamlb-1,Chicago White Sox,145,4,2018-03-31,529432,Kansas City Royals,118,3
2018/03/31/colmlb-arimlb-1,Colorado Rockies,115,2,2018-03-31,529434,Arizona Diamondbacks,109,1
2018/03/31/milmlb-sdnmlb-1,Milwaukee Brewers,158,7,2018-03-31,529437,San Diego Padres,135,3
2018/03/31/sfnmlb-lanmlb-1,San Francisco Giants,137,0,2018-03-31,529442,Los Angeles Dodgers,119,5
2018/04/01/pitmlb-detmlb-1,Pittsburgh Pirates,134,1,2018-04-01,529453,Detroit Tigers,116,0
2018/04/01/pitmlb-detmlb-2,Pittsburgh Pirates,134,8,2018-04-01,529441,Detroit Tigers,116,6
2018/04/01/minmlb-balmlb-1,Minnesota Twins,142,7,2018-04-01,529451,Baltimore Orioles,110,0
2018/04/01/nyamlb-tormlb-1,New York Yankees,147,4,2018-04-01,529452,Toronto Blue Jays,141,7
